Name,Team,Salary,Column 7
NAME,TEAM,SALARY,
"LeBron James, SF",Cleveland Cavaliers,30963450.00,
"Mike Conley, PG",Memphis Grizzlies,26540100.00,
"DeMar DeRozan, SG",Toronto Raptors,26540100.00,
"Al Horford, C",Boston Celtics,26540100.00,
"Kevin Durant, SF",Golden State Warriors,26540100.00,
"Russell Westbrook, PG",Oklahoma City Thunder,26540100.00,
"James Harden, PG",Houston Rockets,26540100.00,
"Dirk Nowitzki, F",Dallas Mavericks,25000000.00,
"Carmelo Anthony, PF",New York Knicks,24559380.00,
"Damian Lillard, PG",Portland Trail Blazers,24328425.00,
NAME,TEAM,SALARY,
"Chris Bosh, PF",Miami Heat,23741060.00,
"Dwyane Wade, G",Chicago Bulls,23200000.00,
"Dwight Howard, C",Atlanta Hawks,23180275.00,
"Chris Paul, PG",LA Clippers,22868827.00,
"Bradley Beal, SG",Washington Wizards,22116750.00,
"Harrison Barnes, SF",Dallas Mavericks,22116750.00,
"Hassan Whiteside, C",Miami Heat,22116750.00,
"Anthony Davis, PF",New Orleans Pelicans,22116750.00,
"Andre Drummond, C",Detroit Pistons,22116750.00,
"Chandler Parsons, SF",Memphis Grizzlies,22116750.00,
NAME,TEAM,SALARY,
"Derrick Rose, PG",New York Knicks,21323252.00,
"Marc Gasol, C",Memphis Grizzlies,21165675.00,
"DeAndre Jordan, C",LA Clippers,21165675.00,
"Brook Lopez, C",Brooklyn Nets,21165675.00,
"Kevin Love, PF",Cleveland Cavaliers,21165675.00,
"Nicolas Batum, SG",Charlotte Hornets,20869566.00,
"LaMarcus Aldridge, C",San Antonio Spurs,20575005.00,
"Blake Griffin, PF",LA Clippers,20140839.00,
"Paul Millsap, PF",Atlanta Hawks,20072033.00,
"Ryan Anderson, F",Houston Rockets,18735364.00,
NAME,TEAM,SALARY,
"Allen Crabbe, SG",Portland Trail Blazers,18500000.00,
"Paul George, SF",Indiana Pacers,18314532.00,
"Luol Deng, F",Los Angeles Lakers,18000000.00,
"Kyrie Irving, PG",Cleveland Cavaliers,17638063.00,
"Kawhi Leonard, SF",San Antonio Spurs,17638063.00,
"Jimmy Butler, SF",Chicago Bulls,17552209.00,
"Tobias Harris, SF",Detroit Pistons,17200000.00,
"Greg Monroe, C",Milwaukee Bucks,17145838.00,
