Name,Team,Salary
NAME,TEAM,SALARY
"Stephen Curry, PG",Golden State Warriors,37457154.00
"Blake Griffin, PF",LA Clippers,32088932.00
"Paul Millsap, PF",Denver Nuggets,31269231.00
"Kyle Lowry, PG",Toronto Raptors,31200000.00
"Gordon Hayward, SF",Boston Celtics,29727900.00
"Mike Conley, PG",Memphis Grizzlies,28530608.00
"Russell Westbrook, PG",Oklahoma City Thunder,28530608.00
"James Harden, PG",Houston Rockets,28299399.00
"DeMar DeRozan, SG",Toronto Raptors,27739975.00
"Al Horford, C",Boston Celtics,27734406.00
NAME,TEAM,SALARY
"Carmelo Anthony, PF",Oklahoma City Thunder,26243760.00
"Damian Lillard, PG",Portland Trail Blazers,26153057.00
"Otto Porter Jr., SF",Washington Wizards,26011913.00
"Jrue Holiday, SG",New Orleans Pelicans,25686667.00
"Bradley Beal, SG",Washington Wizards,25434263.00
"Andre Drummond, C",Detroit Pistons,25434263.00
"Hassan Whiteside, C",Miami Heat,25434262.00
"Joel Embiid, C",Philadelphia 76ers,25250000.00
"Chris Paul, PG",Houston Rockets,24599495.00
"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303.00
NAME,TEAM,SALARY
"Kevin Love, PF",Cleveland Cavaliers,24119025.00
"Nicolas Batum, SG",Charlotte Hornets,24000000.00
"CJ McCollum, SG",Portland Trail Blazers,23962573.00
"Dwight Howard, C",Charlotte Hornets,23819725.00
"Anthony Davis, PF",New Orleans Pelicans,23775506.00
"Harrison Barnes, SF",Dallas Mavericks,23112004.00
"Chandler Parsons, SF",Memphis Grizzlies,23112004.00
"Brook Lopez, C",Los Angeles Lakers,22642650.00
"Marc Gasol, C",Memphis Grizzlies,22642350.00
"DeAndre Jordan, C",LA Clippers,22642350.00
NAME,TEAM,SALARY
"Steven Adams, C",Oklahoma City Thunder,22471910.00
"Rudy Gobert, C",Utah Jazz,21924719.00
"Serge Ibaka, PF",Toronto Raptors,21666667.00
"LaMarcus Aldridge, C",San Antonio Spurs,21461010.00
"Victor Oladipo, SG",Indiana Pacers,21000000.00
"Danilo Gallinari, PF",LA Clippers,20559599.00
"Ryan Anderson, F",Houston Rockets,19578455.00
"Paul George, SF",Oklahoma City Thunder,19508958.00
"Jimmy Butler, SF",Minnesota Timberwolves,19301070.00
"Tyler Johnson, SG",Miami Heat,19245370.00
NAME,TEAM,SALARY
"John Wall, PG",Washington Wizards,19169800.00
"Jeff Teague, PG",Minnesota Timberwolves,19000000.00
"George Hill, PG",Sacramento Kings,19000000.00
"Kyrie Irving, PG",Boston Celtics,18868626.00
"Kawhi Leonard, SF",San Antonio Spurs,18868626.00
"Enes Kanter, C",New York Knicks,18622514.00
"Joakim Noah, C",New York Knicks,18530000.00
"Allen Crabbe, SG",Brooklyn Nets,18500000.00
"Goran Dragic, PG",Miami Heat,18109175.00
"Kent Bazemore, SG",Atlanta Hawks,18089887.00
NAME,TEAM,SALARY
"DeMarcus Cousins, C",New Orleans Pelicans,18063850.00
"Wesley Matthews, SG",Dallas Mavericks,17884176.00
"Klay Thompson, SG",Golden State Warriors,17826150.00
"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,17745894.00
"Draymond Green, PF",Golden State Warriors,17469565.00
"Tristan Thompson, C",Cleveland Cavaliers,17469565.00
"Tim Hardaway Jr., SG",New York Knicks,17325000.00
"Luol Deng, F",Los Angeles Lakers,17190000.00
"Evan Turner, SG",Portland Trail Blazers,17131148.00
"Reggie Jackson, PG",Detroit Pistons,17043478.00
NAME,TEAM,SALARY
"Bismack Biyombo, C",Orlando Magic,17000000.00
"Evan Fournier, SG",Orlando Magic,17000000.00
"Jonas Valanciunas, C",Toronto Raptors,16539326.00
"Pau Gasol, C",San Antonio Spurs,16000000.00
"Tobias Harris, SF",LA Clippers,16000000.00
"Timofey Mozgov, C",Brooklyn Nets,16000000.00
"Ian Mahinmi, C",Washington Wizards,15944154.00
"Dennis Schroder, PG",Atlanta Hawks,15500000.00
"Tony Parker, G",San Antonio Spurs,15453126.00
"DeMarre Carroll, SF",Brooklyn Nets,15400000.00
NAME,TEAM,SALARY
"Eric Bledsoe, PG",Phoenix Suns,15000000.00
"Andre Iguodala, SG",Golden State Warriors,14814815.00
"JR Smith, G",Cleveland Cavaliers,14720000.00
"James Johnson, PF",Miami Heat,14651700.00
"Robin Lopez, C",Chicago Bulls,14357750.00
"Ricky Rubio, PG",Utah Jazz,14275000.00
"Joe Ingles, SF",Utah Jazz,14136364.00
"Gorgui Dieng, C",Minnesota Timberwolves,14112360.00
"Marvin Williams, PF",Charlotte Hornets,14087500.00
"Mason Plumlee, PF",Denver Nuggets,14041096.00
NAME,TEAM,SALARY
"Taj Gibson, PF",Minnesota Timberwolves,14000000.00
"Thaddeus Young, PF",Indiana Pacers,13964045.00
"Brandon Knight, PG",Cleveland Cavaliers,13618750.00
"Cody Zeller, PF",Charlotte Hornets,13528090.00
"Michael Kidd-Gilchrist, SF",Charlotte Hornets,13000000.00
"Tyson Chandler, C",Phoenix Suns,13000000.00
"Eric Gordon, SG",Houston Rockets,12943020.00
"Kenneth Faried, F",Denver Nuggets,12921348.00
"Marcin Gortat, C",Washington Wizards,12782609.00
"Nikola Vucevic, C",Orlando Magic,12750000.00
NAME,TEAM,SALARY
"Austin Rivers, PG",LA Clippers,12650000.00
"Kelly Olynyk, PF",Miami Heat,12537527.00
"Jeremy Lin, G",Brooklyn Nets,12516746.00
"Miles Plumlee, C",Atlanta Hawks,12500000.00
