"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"adamsst01","Steven Adams",3140517,1800.6,"C",23,"OKC",80,80,2389,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,1744.15028323892,"5638.23231277868"
"aldrila01","LaMarcus Aldridge",20575005,2029.1,"PF",31,"SAS",72,72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,172,351,523,139,46,88,98,158,1243,10139.965994776,"9581.34937021542"
"aminual01","Al-Farouq Aminu",7680965,1239.7,"PF",26,"POR",61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,6195.82560296846,"10914.4582128293"
"anderky01","Kyle Anderson",1192080,702.1,"SF",23,"SAS",72,14,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,1697.87779518587,"2037.54788937812"
"anderry01","Ryan Anderson",18735364,1383,"PF",28,"HOU",72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,13546.9009399855,"9327.72485619913"
"antetgi01","Giannis Antetokounmpo",2995421,3182,"SF",22,"MIL",80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,941.364236329353,"6046.77863327004"
"anthoca01","Carmelo Anthony",24559380,2235.1,"SF",32,"NYK",74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,10988.0452776162,"10659.6240159143"
"arizatr01","Trevor Ariza",7806971,1916.1,"SF",31,"HOU",80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936,4074.40686811753,"8041.89898765928"
"augusdj01","D.J. Augustin",7250000,912.9,"PG",29,"ORL",78,20,1538,195,517,0.377,95,274,0.347,100,243,0.412,0.469,131,161,0.814,15,102,117,209,31,1,90,101,616,7941.7241757038,"8288.25563102198"
"bareajo01","J.J. Barea",4096950,694.3,"PG",32,"DAL",35,6,771,142,343,0.414,53,148,0.358,89,195,0.456,0.491,44,51,0.863,9,75,84,193,14,1,63,30,381,5900.83537375774,"17949.0189801595"
